"Time (s),""Angular velocity (rad/s)"",""Acceleration (m/s^2)"""
2.204584825E-1,2.254415569E-2,1.385661787E0
7.204584825E-1,1.340314850E-2,1.054299951E-1
1.828132730E0,2.695087803E-2,7.315599146E-2
2.578132730E0,1.390981247E-3,4.669032815E-1
3.078132730E0,3.365261789E-3,1.478405978E-1
3.578132730E0,1.383075300E-3,3.980063718E-2
4.078132730E0,2.607182769E-3,1.452898307E-1
4.578132730E0,2.331110902E-1,9.803309105E-2
5.078132730E0,3.360763878E-2,4.096967196E-2
5.578132730E0,9.301961666E-2,3.184721170E-2
6.078132730E0,1.524190104E-1,7.162175718E-1
6.578132730E0,1.997093067E0,1.225008460E0
7.078132730E0,2.705193883E0,1.816580303E0
7.578132730E0,1.818367658E0,9.717474918E-1
8.078132730E0,1.572365616E0,5.498211547E-1
8.578132730E0,3.683169509E0,1.821169823E0
9.078132730E0,7.219135707E0,4.997763460E0
9.578132730E0,9.996622363E0,9.491764659E0
1.007813273E1,1.273486778E1,1.353973745E1
1.057813273E1,1.688760697E1,1.852220816E1
1.107813273E1,1.783819350E1,2.001657231E1
1.157813273E1,1.503219505E1,1.627603458E1
1.207813273E1,1.384844782E1,1.513255374E1
1.257813273E1,1.262059700E1,1.299020590E1
1.307813273E1,1.034418247E1,8.093356390E0
1.357813273E1,8.217466587E0,5.017795219E0
1.407813273E1,5.086001930E0,3.465551013E0
1.457813273E1,2.704074721E0,2.595788910E0
1.507813273E1,4.185842434E-1,2.361967614E-1
1.557813273E1,1.749879112E-1,4.847511528E-2
1.607813273E1,1.391224588E-1,1.850172330E-1
1.657813273E1,3.607770119E-2,7.903402531E-2
1.707813273E1,2.066452142E-2,5.790165863E-2
1.757813273E1,6.795078415E-2,8.585355575E-1
1.807813273E1,1.597817126E0,1.918541664E0
1.857813273E1,2.953953687E-1,6.602771282E-1
1.932813273E1,2.988369513E-2,2.416052762E-1
1.982813273E1,1.936554613E-3,2.012359707E-1
2.032813273E1,2.203903948E-3,1.345839835E-1
2.082813273E1,4.169640557E-3,1.146351425E-1
2.132813273E1,1.992295248E-3,9.681254543E-2
2.182813273E1,1.114153452E-1,1.286155932E-1
2.232813273E1,4.380946126E-1,4.924832648E-1
2.282813273E1,1.087035180E0,8.036450542E-1
2.332813273E1,1.623440330E0,1.044977190E0
2.382813273E1,5.975901064E-1,2.998685209E-1
2.432813273E1,3.040938944E0,1.832821739E0
2.482813273E1,2.272474350E0,2.187903145E0
2.532813273E1,8.495172285E-1,8.363825661E-1
2.582813273E1,1.436855191E0,1.625879930E0
